Output,Average Reward,Total Timesteps
1,0.015625,2048
2,0.0,4096
3,0.014705882352941176,6144
4,0.03508771929824561,8192
5,0.05263157894736842,10240
6,0.14285714285714285,12288
7,0.4925373134328358,14336
8,0.654320987654321,16384
9,0.7802197802197802,18432
10,0.9130434782608695,20480
11,0.96,22528
12,0.96,24576
13,0.97,26624
14,0.99,28672
15,1.0,30720
16,0.99,32768
17,1.0,34816
18,1.0,36864
19,0.98,38912
20,1.0,40960
21,0.99,43008
22,1.0,45056
23,1.0,47104
24,1.0,49152
25,1.0,51200
26,1.0,53248
27,1.0,55296
28,1.0,57344
29,0.99,59392
30,1.0,61440
31,0.64,63488
32,0.94,65536
33,0.99,67584
34,1.0,69632
35,0.99,71680
36,1.0,73728
37,1.0,75776
38,1.0,77824
39,1.0,79872
40,1.0,81920
41,1.0,83968
42,0.87,86016
43,0.97,88064
44,1.0,90112
45,1.0,92160
46,1.0,94208
47,1.0,96256
48,0.99,98304
49,1.0,100352
50,1.0,102400
51,1.0,104448
52,0.88,106496
53,0.98,108544
54,0.99,110592
55,1.0,112640
56,1.0,114688
57,0.99,116736
58,1.0,118784
59,0.82,120832
60,0.96,122880
61,1.0,124928
62,1.0,126976
63,1.0,129024
64,1.0,131072
65,1.0,133120
66,1.0,135168
67,1.0,137216
68,0.98,139264
69,1.0,141312
70,1.0,143360
71,1.0,145408
72,1.0,147456
73,1.0,149504
74,1.0,151552
75,1.0,153600
76,0.99,155648
77,1.0,157696
78,0.84,159744
79,0.98,161792
80,0.98,163840
81,1.0,165888
82,0.99,167936
83,1.0,169984
84,1.0,172032
85,0.72,174080
86,0.97,176128
87,1.0,178176
88,1.0,180224
89,1.0,182272
90,1.0,184320
91,1.0,186368
92,1.0,188416
93,0.99,190464
94,1.0,192512
95,1.0,194560
96,1.0,196608
97,1.0,198656
98,1.0,200704
99,0.49,202752
100,0.79,204800
101,0.96,206848
102,0.96,208896
103,0.99,210944
104,0.98,212992
105,1.0,215040
106,1.0,217088
107,1.0,219136
108,1.0,221184
109,1.0,223232
110,1.0,225280
111,0.89,227328
112,0.99,229376
113,1.0,231424
114,1.0,233472
115,1.0,235520
116,0.98,237568
117,1.0,239616
118,1.0,241664
119,1.0,243712
120,1.0,245760
121,1.0,247808
122,1.0,249856
123,1.0,251904
124,0.98,253952
125,1.0,256000
126,1.0,258048
127,1.0,260096
128,0.99,262144
129,1.0,264192
130,1.0,266240
131,1.0,268288
132,1.0,270336
133,0.99,272384
134,1.0,274432
135,1.0,276480
136,0.99,278528
137,1.0,280576
138,1.0,282624
139,1.0,284672
140,1.0,286720
141,1.0,288768
142,0.96,290816
143,0.99,292864
144,1.0,294912
145,1.0,296960
146,1.0,299008
147,0.99,301056
148,1.0,303104
149,1.0,305152
150,1.0,307200
151,1.0,309248
152,1.0,311296
153,1.0,313344
154,1.0,315392
155,1.0,317440
156,1.0,319488
157,1.0,321536
158,1.0,323584
159,1.0,325632
160,1.0,327680
161,1.0,329728
162,1.0,331776
163,1.0,333824
164,1.0,335872
165,1.0,337920
166,1.0,339968
167,0.99,342016
168,1.0,344064
169,1.0,346112
170,1.0,348160
171,1.0,350208
172,1.0,352256
173,0.99,354304
174,0.99,356352
175,0.69,358400
176,0.88,360448
177,1.0,362496
178,0.99,364544
179,1.0,366592
180,1.0,368640
181,1.0,370688
182,0.94,372736
183,0.98,374784
184,1.0,376832
185,1.0,378880
186,0.99,380928
187,1.0,382976
188,1.0,385024
189,1.0,387072
190,1.0,389120
191,1.0,391168
192,1.0,393216
193,1.0,395264
194,1.0,397312
195,1.0,399360
196,1.0,401408
197,0.84,403456
198,0.99,405504
199,0.82,407552
200,0.99,409600
201,1.0,411648
202,0.98,413696
203,1.0,415744
204,0.99,417792
205,1.0,419840
206,1.0,421888
207,1.0,423936
208,1.0,425984
209,1.0,428032
210,1.0,430080
211,1.0,432128
212,1.0,434176
213,1.0,436224
214,0.85,438272
215,0.99,440320
216,1.0,442368
217,1.0,444416
218,1.0,446464
219,0.99,448512
220,1.0,450560
221,0.64,452608
222,0.8,454656
223,0.96,456704
224,0.99,458752
225,1.0,460800
226,1.0,462848
227,1.0,464896
228,1.0,466944
229,1.0,468992
230,1.0,471040
231,1.0,473088
232,1.0,475136
233,1.0,477184
234,0.86,479232
235,0.98,481280
236,1.0,483328
237,1.0,485376
238,1.0,487424
239,1.0,489472
240,0.99,491520
241,0.99,493568
242,0.9,495616
243,0.99,497664
244,1.0,499712
245,1.0,501760
